CLASS,HEX ID,IMAGES PER CELL,MEAN LATITUDE,MEAN LONGITUDE
0,43,3304,54.44374667191302,71.25110095036324
1,88d94,3320,26.2425311834338,-80.17784249548217
2,48761b3c,1985,51.53115867254411,-0.12398291989924419
3,487a5,1965,53.239891085496204,-2.2239463302798956
4,808580fc,1305,37.80901677394638,-122.4099567478931
5,8644b59,1369,30.284494479181937,-97.73520010518583
6,183c,1083,-3.1799673194829143,37.86628868421053
7,4741dc1,1735,47.50743738386157,19.04534625590777
8,1324,4969,41.67893321151145,12.62191295532298
9,808583,376,37.88141592553196,-122.4087112632978
10,808f7d,2451,37.73222694532832,-122.47888629946976
11,1502c,2455,31.75535903543778,35.029538720163025
12,89b7b78c,1401,38.897976019271944,-77.01847305139177
13,3bae4,4558,12.96047224550249,77.6000409925406
14,48777,2349,52.59483255470425,-1.0952005538527032
15,47bdc,4968,50.03737925161032,8.235203786634433
16,487b7,1500,53.89508305133322,-2.7440137806666645
17,47a94,1301,53.10571285242119,12.960211284396625
18,182c,3795,-1.1195417238471679,36.07246688563914
19,46eb,1104,58.06208173641304,26.443616898550715
20,46416e4,4586,59.92191152703863,10.753444691452266
21,808fbb,4066,37.43375426094452,-122.14327675209081
22,6b3,3100,-37.210553064838685,147.32902643193557
23,478c64,4377,46.219772649988684,6.130393209961164
24,0d42c,158,40.337809512658275,-2.8341768860759498
25,47a8519,1034,52.531915631528186,13.368572203094738
26,17c,1343,3.0832823782576213,37.0982871116903
27,864e9c,4693,32.79522550308988,-96.79883318666074
28,3055,2396,9.679663394824724,99.9572201544244
29,468d,4920,60.29488547235761,23.666061664227623
30,48670d,2773,53.34531240750075,-6.290468438514273
31,0dbc,947,30.803293965153095,-6.677811276663138
32,35f1c,2231,39.92573377454057,116.46905068354987
33,4647,2261,58.9857748155682,9.72768824856261
34,315,4049,17.804240718942925,107.91218098888565
35,3b5,662,3.751527419939584,73.15051598187316
36,883f,1485,40.46354302222221,-84.04357105858583
37,47e66e2c,3105,48.862695170692554,2.328595037037027
38,8744,3496,39.28042771796337,-107.94995132122445
39,18c,696,-14.005620928160925,37.684495922413795
40,16c,381,14.832941653543317,32.09910095275584
41,89c25f,3887,40.751411853614755,-73.88781849909944
42,87e4,4051,41.646823118489,-91.1375077393238
43,6b12ae7,3598,-33.85984663062808,151.21514204141172
44,89e4c,2923,41.82489178754721,-70.8112971830313
45,4876053,4798,51.504567058357644,-0.15016568445185588
46,4741f,327,47.400727721712556,19.01821286238531
47,8f54,2455,20.747636012627314,-88.91335245661908
48,12f,4281,38.0794372328896,9.381537267227317
49,89df,4380,42.968632681735365,-73.87339880707738
50,80844,4156,38.476544058710196,-122.71465647329168
51,4691,1382,60.74972873878456,26.881369348046352
52,882b3c,1168,43.69159168578768,-79.631609192637
53,3404005,2882,22.278471390353957,114.17986001839003
54,808580b,4053,37.77705406489031,-122.43337249765625
55,8e3f9c,4634,4.638003071644389,-74.0814647906772
56,54903,1273,47.63276599293001,-122.56493034406915
57,884f,1202,37.781744245424214,-81.3172006871879
58,4711,957,50.40636899686528,18.161483045977025
59,6ad642b,3929,-37.81938764901997,144.9689641366764
60,89e3775,2753,42.37046054921888,-71.1105007740647
61,60188cf,351,35.693253316239314,139.7197039943016
62,0d51b,4513,43.31147156326164,-1.9785945142920454
63,60188cd,2684,35.68939942101344,139.70040358084975
64,935b,4339,-15.788683056234218,-47.902791795574814
65,07b,4759,-7.150570689640674,-35.50823232590891
66,80b,3420,37.97946155263156,-116.89247531462013
67,89b7b79c,3090,38.890555150162015,-77.02667195404527
68,194,2671,-16.828331708723326,27.710927011606152
69,88f503,2546,33.74617180282793,-84.38456800706979
70,4771,4077,46.98416604365971,14.049026906303679
71,132f7c,434,41.94135738479263,12.75907359907833
72,52f,3787,50.06443367520476,-97.65262630657539
73,536c,2251,49.0379487076854,-113.18401389426901
74,35b2705,2374,31.239591060657496,121.47990182013487
75,47886c,4291,45.07480950710768,7.670392585411378
76,6b134,1033,-34.5357596166505,150.84045834656337
77,132a5404,4086,43.77131875403823,11.256066100587304
78,880e2cbc,2517,41.88149834922545,-87.63277375844332
79,46d,3215,54.57234757169533,27.16098034494547
80,89b7b784,3124,38.88975947183094,-77.01683912099848
81,5495a1,4858,45.51888713524106,-122.63237816467641
82,39ec,4120,27.72314991262136,85.79285824004843
83,48795,4621,53.83402173079397,-1.5294802023371488
84,6d0d5,4880,-36.87327805327893,174.7687794079916
85,47c0f,2435,50.73656192320323,5.63505895112936
86,4876b,1548,51.52409423255804,-1.285015074289403
87,12a1,4498,40.744535569363975,0.6222575315695844
88,89acd,1966,35.92409921668361,-79.07456024160727
89,89c2f7,4010,40.81246123216959,-73.95786033441408
90,4cc93,1284,45.50781212850471,-73.84202907632383
91,88309,495,41.44192081616163,-82.03207085050506
92,4875b,2067,50.86301976294131,-0.6059840048379282
93,12d7,1925,42.83774409766235,9.997079841558453
94,80e84,2577,34.14162711951877,-118.88866146526956
95,488b,1887,56.2089739788023,-6.137861237413885
96,0d69,1187,39.40926601010952,-3.217790828138167
97,46ef,3039,56.9665215521555,23.95482670319186
98,88f514,1018,33.935683935166914,-84.51815576227898
99,4cd4,4847,44.99997906127511,-77.07239597173462
100,88e5,3812,30.336135168153298,-81.4985571020464
101,30e2994,4369,13.75256472533766,100.50192092080526
102,487602c,4176,51.49405626556509,-0.017020783045977067
103,19c,1519,-1.9042221810401547,30.788236373272007
104,0d50c,2231,42.84477003765137,-1.5937095127745393
105,54914,2259,47.03110371093397,-122.74582982293073
106,87d8b,4963,38.62118210054401,-90.22663435684032
107,477ff,1387,44.62902932660417,10.882037306416716
108,6b97,926,-27.69756071274292,152.328866685745
109,89ddc,1193,42.321852794635326,-73.86226691533935
110,14a1bd4,4845,37.976190743653355,23.730228334984485
111,47e66fd,3787,48.866149775547754,2.313350798257199
112,872d,3552,34.78066994679048,-111.88054073592384
113,876bb,648,39.7022218287037,-105.62864856635784
114,477eb1dc,2275,45.43793446725289,12.336333674285742
115,48654,4198,53.089871430919324,-3.8706575717008227
116,47a84d,566,52.55367077738514,13.461006303886927
117,465f774,288,59.270498447916616,18.029651878472244
118,485bc,1945,53.26354287712072,-9.12323663804627
119,48775,2537,52.45464456247513,-1.4533440741032748
120,88064,3319,43.05107929225666,-89.3347763250978
121,885d,2352,36.09869990136043,-84.07711730102035
122,31da194,4245,1.280856210129564,103.84714191307445
123,131c,3997,37.96493250888171,12.952614067800827
124,88643,150,36.292796666666646,-86.45745016000005
125,47a84fc,1947,52.48492298099634,13.414779049306668
126,8085814,2629,37.82003877481941,-122.4259753887408
127,60013,1774,34.67691270236768,135.8196929937996
128,00a4,3857,-20.062392186414275,-43.87716480995583
129,94cec,2335,-23.43278649678796,-46.64311568137027
130,486cc,3297,50.395589877464296,-4.098846727327875
131,0d2464,4390,41.15421053302961,-8.610332917312013
132,6d2c,2981,-43.51758268701772,170.73093705803439
133,4799d,4328,48.79399782162652,9.18815122227357
134,486dc,4433,50.92726543221311,-3.4284618653282246
135,880fb,2842,42.02610910204109,-87.9539603754394
136,464fc,4908,57.676320947433105,11.973363687041635
137,47914,3378,48.10749213795147,7.626998646832449
138,867,4981,26.28409890805055,-98.7608038060635
139,89c25994,3063,40.73201816878878,-73.99973324159328
140,88e77c,4322,28.497701635354144,-81.42355749490996
141,4652537,1021,55.665324482859916,12.561133726738499
142,465f9d7,2620,59.33789431641238,18.051863195419816
143,94dc,4513,-25.87860100952813,-49.0326508723689
144,47944,408,48.900507661764756,7.069809151960782
145,8823,3849,42.846693820213034,-84.26726550428688
146,3397b,1988,14.643825644869183,121.03213948088484
147,600109,4981,35.00906106183509,135.77172840172622
148,5354,3834,44.168158678142845,-110.95127804773111
149,60188c3,1169,35.713098307100076,139.766931473054
150,95b4,2228,-32.565661753590675,-60.5805363716336
151,3564,2502,36.62790030255803,128.39991303197448
152,6ad65c,4530,-37.79488813598223,144.93826110331105
153,5490154c,1877,47.61478218806616,-122.34348817368173
154,4876c7,3781,51.75231411134601,-1.258557372917215
155,0d1935,4105,38.70583771863585,-9.143492715468954
156,31cc5,4237,3.135854398867111,101.6528087361334
157,4786c3,1263,45.44347901425179,9.157624352335713
158,12a4a27,2855,41.370652299474784,2.1532482297723248
159,486ac,2149,50.13887055467663,-5.526969008375989
160,47c3c3,4917,50.864786651413176,4.353752900549126
161,47a8514,1333,52.52213793623395,13.32369463240815
162,80dd34,3399,33.7732273353927,-118.18754579464584
163,549015c,1928,47.66192289211612,-122.38365189678463
164,808fcb,1857,37.34153899569195,-121.94010973290263
165,6b12ae5,2659,-33.85978556713055,151.2063993681833
166,80c29,3857,34.22524070521124,-118.46993957402175
167,8ed,3307,19.204168388569627,-77.04298568914436
168,8735,2648,37.307294884441056,-111.87491483761345
169,95a4,4028,-34.59528397244299,-57.95297722343584
170,94ce54,4028,-23.57997562711026,-46.70034544240308
171,872b0c,3586,33.45714933547126,-111.95042241132153
172,12d34,3751,44.4052871866169,8.905754883764374
173,47c5f4,533,52.49541016510314,4.608334958724203
174,12a9,3106,42.90706095911146,0.5643604153251771
175,87f5,538,44.41893527509294,-94.2023307453531
176,47d4,3836,52.93586344056311,0.9081628125651693
177,89c3d,1397,40.447348300644194,-74.42563348890484
178,808ff,1591,37.74801779132623,-121.87582396857334
179,465244,279,55.89187350179208,12.317985910394261
180,4873b,2639,50.76456380144011,-1.9871407733990096
181,880f4,1839,42.117475275693394,-88.37531005818357
182,3442ab9,380,25.0550697736842,121.57165622105258
183,961c,2332,-41.54864565137219,-72.06983294039442
184,95bcf,81,-34.8001649506173,-58.82184740740738
185,52b35,423,45.08095099999999,-93.54023139243499
186,89acb,283,35.61360729328626,-79.1569427420494
187,8085808c,4969,37.78979644516,-122.40640321815245
188,548f7,4777,48.47023900900153,-123.34899000376811
189,4887b,3451,55.95717344740646,-3.0995440727325394
190,31da19b,4007,1.2961620811080543,103.85358092562903
191,6d3f,469,-41.05738661833693,174.63631260767582
192,549514,111,45.44892834234233,-122.94485470270274
193,94c9,2744,-22.710344580175068,-47.01687737244886
194,89c39,835,40.74129683712576,-74.71441630538922
195,8095,2232,36.84057567607532,-119.25805493906786
196,89c258ff,2338,40.75845924037657,-73.97940704918723
197,48761b5,4192,51.52360289146027,-0.10479487380725243
198,549014c,2305,47.64948990932758,-122.30856002603035
199,0d5b,1551,42.118896742746564,-1.9198860174081205
200,487b21,3621,53.40336305550923,-2.973767608947815
201,12a3,3198,41.17351184396497,1.5634952967479696
202,9662c54,2553,-33.45801523540922,-70.6485407215039
203,47b84,2263,52.21997498541765,6.911292775961117
204,0d0dc,3200,36.59361020593754,-6.224211148124993
205,487614,4266,51.55694141631513,-0.25048705977496505
206,89e7c,3919,41.49710822786435,-72.96434684664435
207,47164,4630,50.043244991360964,19.950058420950313
208,132dc,1314,43.36637300380526,13.217721621004593
209,89c25855,3747,40.75752082225809,-73.98599947477909
210,4caf,3357,44.45162103217161,-68.45859631963064
211,1331,3099,42.352327769280635,14.011873355275931
212,6b913,92,-27.927005739130426,153.13275213043477
213,488845,3632,55.8726251693282,-4.28219793199338
214,549f,1695,47.414833568141624,-117.49102686961639
215,45dc,3182,68.14762796480214,15.884977393148887
216,89c258f9,1847,40.761541205738894,-73.97942513318905
217,135c,4794,39.30224430725911,21.00158733687955
218,35b270c,1397,31.23192218897639,121.50315521832519
219,95bb,471,-34.10358571125266,-58.96972306157118
220,47d87c,1425,52.117856825965085,0.12279450175438571
221,48d5,1047,64.7836074565425,-22.02238520821391
222,4b7,1273,47.563447656716384,-58.35549135192465
223,85d3,2859,19.79791511227703,-99.59704157922337
224,4741dc3,1425,47.49745019999997,19.040299047719255
225,5f9,4506,39.43663588260088,140.75662798135886
226,4ccb,3323,44.40662709027988,-73.53098481492657
227,48761ca4,618,51.52817636893195,-0.08709866504854377
228,47dcc,2752,51.05038467042165,2.7902031591569765
229,38c,4623,36.944786542288504,73.62849938870876
230,47e61,3631,48.88004098595453,2.627684712475911
231,549509,1895,45.527273231662086,-122.71319803113452
232,48761b34,3847,51.51931296022886,-0.12529295191058007
233,89b9,3772,38.50158021977719,-75.46547772826071
234,4709d,4354,51.060341556729504,13.736411951538802
235,8f4d,1742,21.190281355338715,-86.8112121251434
236,880e2b,3212,41.87441047229143,-87.61185000311376
237,0d126b,1122,37.412854202317305,-6.002637901069518
238,865b,4317,30.3298775114663,-98.10105640954404
239,12aec,3722,43.59261174153689,1.447550991133801
240,48761d4,3245,51.537072461016926,-0.021546065331278744
241,8f4f,4278,20.503822025011786,-87.13796167508161
242,364,2824,35.9584064334278,108.08758437606245
243,8f3,1647,20.80702632786887,-80.93254574620529
244,34685,949,24.656324413066343,121.04941647312958
245,487e74,3312,54.97690046890082,-1.6087528058574894
246,aa4,4652,-42.3892708714531,147.07599590004264
247,1297c,4831,39.639581880149,2.7350566992341276
248,5fd,385,38.44499243636364,128.2636544597403
249,45c4,1672,69.67208579186587,19.2059972410287
250,3e44,2146,25.268579891891928,51.51003743383031
251,8794,4704,41.07678248044227,-96.28312270769597
252,478874,982,45.07598011507156,7.719616235234251
253,47e675,153,48.741405039215664,2.3865522418300658
254,80dac,3015,33.8855019595356,-116.19602422354858
255,14dc,1275,35.496154815686246,33.34489346745101
256,52b32c,3948,44.98556932877396,-93.21356063399192
257,3414,1828,24.453889578774632,117.90072154266952
