class_label,hex_id,imgs_per_cell,latitude_mean,longitude_mean
0,42c,1289,52.168291913886584,85.0823224189294
1,88d904,1953,26.13722208602151,-80.1453716446492
2,48761b3c,1985,51.5311586725441,-0.12398291989924419
3,487a5,1965,53.2398910854962,-2.223946330279895
4,808580fc,1305,37.80901677394638,-122.40995674789308
5,8644b59,1369,30.284494479181937,-97.73520010518585
6,183c,1083,-3.1799673194829143,37.86628868421053
7,4741dc1,1735,47.50743738386157,19.04534625590777
8,13258c,1581,41.839135652118856,12.501068362428821
9,808583,376,37.88141592553196,-122.4087112632978
10,808f7dc,1244,37.74131107797427,-122.46424604180042
11,1502d,1375,31.7873203229091,35.15202308290906
12,89b7b78c,1401,38.897976019271944,-77.01847305139177
13,3bae15,1349,12.94558603261673,77.60933103484044
14,487774,201,52.449928497512445,-0.9119065024875614
15,47bdf,693,49.954012005772015,7.921881810966814
16,487b7,1500,53.89508305133323,-2.7440137806666645
17,47a94,1301,53.10571285242119,12.960211284396625
18,182d,1205,-1.4390848489626549,35.14049021244816
19,46eb,1104,58.06208173641304,26.443616898550715
20,46416e7c,1063,59.91671728880544,10.735881860771402
21,808fba4,889,37.42418114510681,-122.09583957480288
22,6b2c,1187,-38.2510342898063,146.08168308171867
23,478c63,517,46.23448627079303,6.064383063829792
24,0d42c,158,40.337809512658275,-2.8341768860759498
25,47a8519,1034,52.531915631528186,13.368572203094738
26,17c,1343,3.0832823782576213,37.0982871116903
27,864e98c,970,32.78380239690722,-96.77353092371123
28,3055c,487,10.093312221765917,99.77495961601652
29,468d9,167,60.074153712574855,24.434493269461075
30,48670d4,115,53.36240181739131,-6.340162017391302
31,0dbc,947,30.803293965153095,-6.677811276663138
32,4646c,1184,59.18868457432427,10.311752992398675
33,3143,1344,15.923415247767881,108.30597095982151
34,3b5,662,3.751527419939584,73.15051598187316
35,883f,1485,40.463543022222204,-84.04357105858584
36,47e66e2f,1223,48.86390003352464,2.331348967293531
37,8747,1427,38.838124533987454,-109.14647203363688
38,18c,696,-14.005620928160925,37.684495922413795
39,16c,381,14.832941653543317,32.09910095275584
40,89c25fc,1486,40.75362509488563,-73.85399662718737
41,87e5,1925,41.82542356623366,-91.62721887532484
42,864e993,955,32.788157720418916,-96.80156221675405
43,6b12ae64,1939,-33.85603235997947,151.2142295177927
44,89e4f,698,41.68498171346708,-70.97197765186245
45,4876052c,1210,51.51053381239672,-0.1458769404958675
46,4741f,327,47.400727721712556,19.01821286238531
47,8f51,1258,20.62713994753579,-88.33561674642291
48,12fc,1249,36.33619735468364,10.03739630504401
49,89de3,485,43.062931841237116,-73.7601242742268
50,80843,1368,38.40560622587717,-122.89114032163712
51,4691,1382,60.74972873878456,26.881369348046352
52,882b3c,1168,43.69159168578768,-79.631609192637
53,3404005c,1152,22.27932670312501,114.17411994270839
54,808580ac,985,37.771848114720775,-122.44076539187849
55,8e3f9a4,662,4.645261734138973,-74.06134854682783
56,54903,1273,47.63276599293001,-122.56493034406915
57,884f,1202,37.781744245424214,-81.3172006871879
58,4711,957,50.40636899686528,18.161483045977025
59,6ad642b7,1148,-37.817132716899046,144.96827097735152
60,89e3774c,252,42.37416611904761,-71.10242090476194
61,60188cf,351,35.693253316239314,139.7197039943016
62,0d51a55,1990,43.32142319597999,-1.9804020663316615
